Change component parameters: Designator = "L1" ("L1"); Footprint = "L1515 - COILCRAFT"; UniqueID = "\GWZNTPKR\FSJKUGJR" ("\GWZNTPKR\FSJKUGJR")
Add component (AddParameter): Name = "ComponentLink12Description"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-181265470.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink12URL"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-181265470.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink13Description"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-154809596.pdf?src-supplier=Master+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink13URL"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-154809596.pdf?src-supplier=Master+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink14Description"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-168245478.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink14URL"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-168245478.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink15Description"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-140707427.pdf?src-supplier=Taiyo+Yuden+SCT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink15URL"; Value = "https://datasheet.octopart.com:443/MBKK1608T3R3M-Taiyo-Yuden-datasheet-140707427.pdf?src-supplier=Taiyo+Yuden+SCT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink16Description"; Value = "https://datasheet.octopart.com:443/LPS4018-333MRC-Coilcraft-datasheet-178522552.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink16URL"; Value = "https://datasheet.octopart.com:443/LPS4018-333MRC-Coilcraft-datasheet-178522552.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink17Description"; Value = "https://datasheet.octopart.com:443/LPS4018-333MRC-Coilcraft-datasheet-10791166.pdf?src-supplier=Coilcraft+Direct"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink17URL"; Value = "https://datasheet.octopart.com:443/LPS4018-333MRC-Coilcraft-datasheet-10791166.pdf?src-supplier=Coilcraft+Direct"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink18Description"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-170574711.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink18URL"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-170574711.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink19Description"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-13266055.pdf?src-supplier=element14+APAC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink19URL"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-13266055.pdf?src-supplier=element14+APAC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink20Description"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-99355710.pdf?src-supplier=element14+APAC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink20URL"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-99355710.pdf?src-supplier=element14+APAC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink21Description"; Value = "https://datasheet.octopart.com:443/SRN4018-330M.-Bourns-datasheet-94059744.pdf?src-supplier=element14+APAC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink21URL"; Value = "https://datasheet.octopart.com:443/SRN4018-330M.-Bourns-datasheet-94059744.pdf?src-supplier=element14+APAC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink22Description"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-104271395.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink22URL"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-104271395.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink23Description"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-37096297.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink23URL"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-37096297.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink24Description"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-154729929.pdf?src-supplier=Electro+Sonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink24URL"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-154729929.pdf?src-supplier=Electro+Sonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink25Description"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-68306452.pdf?src-supplier=Electro+Sonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink25URL"; Value = "https://datasheet.octopart.com:443/SRN4018-330M-Bourns-datasheet-68306452.pdf?src-supplier=Electro+Sonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink26Description"; Value = "http://sigma.octopart.com:80/conflict_mineral_statement/Bourns-company-36.pdf?src-supplier=Compliance+Statements"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink26URL"; Value = "http://sigma.octopart.com:80/conflict_mineral_statement/Bourns-company-36.pdf?src-supplier=Compliance+Statements"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Wirewound"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core Material"; Value = "Ferrite"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Country of Origin"; Value = "Taiwan"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "260mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Current"; Value = "1.85A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = "75mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "10.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR"; Value = "552mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Export Control Classification Number (ECCN) Code"; Value = "EAR99"; VariantName = "[No Variations]"
